Cod_Producto,Descripcion,Unidad,Precio,Precio_IVA,Paga_Impuesto_IVA,Existencia,Observación,Campo1
110,BREAKER_CAJA_MOLDEADA_FIJO_EZC100H_3_POLOS_30A,U,117.74,131.8688,VERDADERO,0,CATALOGO,
111,BREAKER_CAJA_MOLDEADA_FIJO_EZC100H_3_POLOS_40A,U,117.74,131.8688,VERDADERO,0,CATALOGO,
112,BREAKER_CAJA_MOLDEADA_FIJO_EZC100H_3_POLOS_50A,U,117.74,131.8688,VERDADERO,0,CATALOGO,
113,BREAKER_CAJA_MOLDEADA_FIJO_EZC100H_3_POLOS_60A,U,129.43,144.9616,VERDADERO,0,CATALOGO,
114,BREAKER_CAJA_MOLDEADA_FIJO_EZC100H_3_POLOS_75A,U,129.43,144.9616,VERDADERO,0,CATALOGO,
115,BREAKER_CAJA_MOLDEADA_FIJO_EZC100H_3_POLOS_80A,U,129.43,,FALSO,0,CATALOGO,
116,BREAKER_CAJA_MOLDEADA_FIJO_EZC100H_3_POLOS_100A,U,129.43,144.9616,VERDADERO,0,CATALOGO,
117,BREAKER_CAJA_MOLDEADA_FIJO_EZC250H_2_POLOS_100A,U,193.39,216.5968,VERDADERO,0,CATALOGO,
118,BREAKER_CAJA_MOLDEADA_FIJO_EZC250H_2_POLOS_125A,U,208.49,233.5088,VERDADERO,0,CATALOGO,
119,BREAKER_CAJA_MOLDEADA_FIJO_EZC250H_2_POLOS_150A,U,206.78,231.5936,VERDADERO,0,CATALOGO,
12,FUSIBLE_SOLAR_PV_DC_32A_(10X38),U,3.8,4.256,VERDADERO,0,CATALOGO,
120,BREAKER_CAJA_MOLDEADA_FIJO_EZC250H_2_POLOS_160A,U,193.39,216.5968,VERDADERO,0,CATALOGO,
121,BREAKER_CAJA_MOLDEADA_FIJO_EZC250H_2_POLOS_175A,U,217.07,243.1184,VERDADERO,0,CATALOGO,
122,BREAKER_CAJA_MOLDEADA_FIJO_EZC250H_2_POLOS_200A,U,0,0,VERDADERO,0,CATALOGO,
123,BREAKER_CAJA_MOLDEADA_FIJO_EZC250H_2_POLOS_225A,U,207.96,232.9152,VERDADERO,0,CATALOGO,
124,BREAKER_CAJA_MOLDEADA_FIJO_EZC250H_2_POLOS_250A,U,216.31,242.2672,VERDADERO,0,CATALOGO,
125,BREAKER_CAJA_MOLDEADA_FIJO_EZC400H_3_POLOS_320A,U,600.63,672.7056,VERDADERO,0,CATALOGO,
126,BREAKER_CAJA_MOLDEADA_FIJO_EZC400H_3_POLOS_350A,U,600.63,672.7056,VERDADERO,0,CATALOGO,
127,BREAKER_CAJA_MOLDEADA_FIJO_EZC400H_3_POLOS_400A,U,600.63,672.7056,VERDADERO,0,CATALOGO,
13,PORTAFUSIBLE_10X38_DC_HASTA_32A_1100_VDC,U,4.56,5.1072,VERDADERO,0,CATALOGO,
14,FUSIBLE_SOLAR_PV_DC_40A_(14X85),U,8.25,9.24,VERDADERO,0,CATALOGO,
15,FUSIBLE_SOLAR_PV_DC_50A_(14X85),U,8.25,9.24,VERDADERO,0,CATALOGO,
